K,trial,t_sync,r_final,phase_variance,convergence_rate
0.0,0,,0.24705921055570743,0.7529407894442925,-0.03369285217471783
0.0,1,,0.15523519482439105,0.8447648051756089,-0.0036416642610773474
0.0,2,,0.30843696191779696,0.6915630380822031,-0.19150273246316923
0.0,3,,0.2431541296262407,0.7568458703737593,0.01799090668878879
0.0,4,,0.28721290143356604,0.712787098566434,-0.029991573419423784
0.0,5,,0.19559007650463264,0.8044099234953673,-0.24599443696110337
0.0,6,,0.29218387438039206,0.7078161256196079,0.21002895059224602
0.0,7,,0.6594964669060368,0.3405035330939632,0.09763054571112487
0.0,8,,0.1701762027391038,0.8298237972608962,0.039133187311949855
0.0,9,,0.4299450577979977,0.5700549422020023,-0.1475765545948759
0.5,0,,0.12271522575437865,0.8772847742456213,0.13287796986243297
0.5,1,,0.388422408515218,0.6115775914847821,0.13992107012306018
0.5,2,,0.3034427203697163,0.6965572796302837,0.08730441127697852
0.5,3,,0.15021331001894755,0.8497866899810524,-0.11070278888461184
0.5,4,,0.40088254370494913,0.5991174562950509,-0.12046513405038008
0.5,5,,0.42569746111288975,0.5743025388871102,0.08977808688827385
0.5,6,,0.20280932039480087,0.7971906796051991,0.0026013810895149144
0.5,7,,0.41509539703295856,0.5849046029670415,-0.12796197649515148
0.5,8,,0.30277225804670366,0.6972277419532964,0.057690248599802284
0.5,9,,0.20569758050999434,0.7943024194900057,-0.007261809061525695
1.0,0,,0.33151450670513294,0.6684854932948671,-0.07308716235883655
1.0,1,2.606,0.7284784556381938,0.2715215443618062,0.08457301399818451
1.0,2,,0.3100071335467782,0.6899928664532218,0.12862451105256797
1.0,3,,0.3983699469630047,0.6016300530369953,0.09789957400845628
1.0,4,,0.48442079019281953,0.5155792098071805,0.014457988772869251
1.0,5,,0.1386680673512268,0.8613319326487732,-0.1347454812486881
1.0,6,,0.16377654908053813,0.8362234509194619,0.006296356878469048
1.0,7,,0.20850204957193624,0.7914979504280637,-0.08287035284683535
1.0,8,,0.5805463916685338,0.41945360833146617,0.05002447830330203
1.0,9,,0.45752094152609235,0.5424790584739076,-0.02959978679746379
1.5,0,,0.5905672423571593,0.4094327576428407,-0.0035686114133206687
1.5,1,,0.20842230033275896,0.791577699667241,-0.1002291116657086
1.5,2,,0.732675548879344,0.26732445112065595,0.0509436476491974
1.5,3,,0.19260436012827273,0.8073956398717272,-0.1411917539038203
1.5,4,,0.27358287514129176,0.7264171248587082,0.346396724573238
