topology,trial,t_sync,r_final,phase_variance,convergence_rate,avg_degree
full,0,1.006,0.9637003386967542,0.0362996613032458,-0.0050788092958791225,9.0
full,1,1.072,0.6182727319433923,0.3817272680566077,-0.0029323492851821347,9.0
full,2,0.631,0.9751135117768169,0.024886488223183068,2.643039021223397e-10,9.0
full,3,2.443,0.7098246880480364,0.29017531195196355,-0.01984846086286472,9.0
full,4,,0.8907585988669122,0.10924140113308778,-0.01755119345050457,9.0
full,5,2.394,0.8148495880919356,0.18515041190806436,-0.10365734374597571,9.0
full,6,,0.5005738460207465,0.4994261539792535,-0.07396961510149466,9.0
full,7,1.088,0.9405719738157667,0.05942802618423326,2.741757488409983e-08,9.0
full,8,1.848,0.8280232673846654,0.17197673261533464,-0.003888569784722909,9.0
full,9,0.5730000000000001,0.7576533314035261,0.2423466685964739,-0.006793213316878578,9.0
ring,0,,0.3180077936071576,0.6819922063928424,-0.05474719778142835,2.0
ring,1,1.605,0.2149543224740897,0.7850456775259103,-0.02981381236203164,2.0
ring,2,,0.34383446163607395,0.656165538363926,-0.1881328078077589,2.0
ring,3,,0.5614048700567885,0.4385951299432115,0.029210514691060625,2.0
ring,4,,0.42572808052926786,0.5742719194707322,-0.00865330594407283,2.0
ring,5,,0.37333922999446806,0.626660770005532,-0.0800064893347715,2.0
ring,6,,0.7747121711970932,0.22528782880290676,0.0007588330122897816,2.0
ring,7,,0.8608709816614915,0.13912901833850855,-0.011717066278781432,2.0
ring,8,2.0340000000000003,0.6197041960302886,0.3802958039697114,0.07818784763020772,2.0
ring,9,1.6540000000000001,0.7370868728098924,0.2629131271901076,-0.056191977993267236,2.0
star,0,0.7010000000000001,0.9836958303694177,0.016304169630582344,6.229636075446093e-11,1.8
star,1,0.906,0.6006304004109472,0.3993695995890528,-0.030205909527155184,1.8
star,2,,0.36057708044249437,0.6394229195575056,-0.0539440136410994,1.8
star,3,1.057,0.9002253799993237,0.09977462000067627,-0.03101315910735257,1.8
star,4,1.33,0.5304259780436592,0.4695740219563408,0.0021655269047133404,1.8
star,5,0.861,0.935048011232809,0.064951988767191,-0.023029243896183348,1.8
star,6,1.018,0.892918919602613,0.10708108039738695,-0.026646214770480518,1.8
star,7,7.206,0.7513183461595169,0.24868165384048313,-0.0052533166161542,1.8
star,8,0.7000000000000001,0.6548581146964783,0.34514188530352174,-0.030757539655166977,1.8
star,9,4.233,0.5992142241463878,0.4007857758536122,0.008623750426385053,1.8
random_er,0,0.982,0.8244189933488684,0.17558100665113163,-0.021523635199703673,2.6
random_er,1,,0.5770190105142049,0.4229809894857951,-0.06116283658392243,2.8
random_er,2,5.523,0.9899101455249324,0.010089854475067606,0.5148335455130184,2.0
random_er,3,3.6430000000000002,0.6790560931194473,0.32094390688055274,-0.10470567040332729,2.0
random_er,4,0.932,0.5712539941459258,0.4287460058540742,0.0075734198754871945,3.0
random_er,5,,0.7948048293451085,0.20519517065489146,0.02011074529088993,2.8
random_er,6,,0.6307162794912315,0.36928372050876845,-0.052822633620220084,1.8
random_er,7,3.19,0.9550621477451112,0.04493785225488878,0.006723799361386076,2.6
random_er,8,,0.410265215247639,0.5897347847523611,0.03501941751711531,1.8
random_er,9,0.764,0.9150905229950577,0.08490947700494234,-0.00018333175474093743,3.4
